Bitcoin (BTC),"$9,372.79"
Ethereum (ETH),$245.28
Tether (USDT),$1.00
XRP (XRP),$0.203702
Bitcoin Cash (BCH),$241.81
Bitcoin SV (BSV),$187.36
Cardano (ADA),$0.123116
Litecoin (LTC),$45.21
Binance Coin (BNB),$16.93
Crypto.com Coin (CRO),$0.144057
EOS (EOS),$2.68
Chainlink (LINK),$6.19
Tezos (XTZ),$2.58
Stellar (XLM),$0.092387
TRON (TRX),$0.018566
UNUS SED LEO (LEO),$1.22
Monero (XMR),$67.55
USD Coin (USDC),$0.999939
VeChain (VET),$0.018641
Huobi Token (HT),$4.21
Ethereum Classic (ETC),$6.69
Neo (NEO),$10.97
IOTA (MIOTA),$0.263750
Dash (DASH),$72.15
Cosmos (ATOM),$3.48
Dogecoin (DOGE),$0.004595
Zcash (ZEC),$57.54
Compound (COMP),$184.03
Maker (MKR),$457.36
Ontology (ONT),$0.654007
HedgeTrade (HEDG),$1.55
NEM (XEM),$0.047574
Basic Attention Token (BAT),$0.263933
Kyber Network (KNC),$1.68
0x (ZRX),$0.434143
OKB (OKB),$5.07
FTX Token (FTT),$3.03
Bitcoin (BTC),"$9,372.79"
Ethereum (ETH),$245.28
Tether (USDT),$1.00
XRP (XRP),$0.203702
Bitcoin Cash (BCH),$241.81
Bitcoin SV (BSV),$187.36
Cardano (ADA),$0.123116
Litecoin (LTC),$45.21
Binance Coin (BNB),$16.93
Crypto.com Coin (CRO),$0.144057
EOS (EOS),$2.68
Chainlink (LINK),$6.19
Tezos (XTZ),$2.58
Stellar (XLM),$0.092387
TRON (TRX),$0.018566
UNUS SED LEO (LEO),$1.22
Monero (XMR),$67.55
USD Coin (USDC),$0.999939
VeChain (VET),$0.018641
Huobi Token (HT),$4.21
Ethereum Classic (ETC),$6.69
Neo (NEO),$10.97
IOTA (MIOTA),$0.263750
Dash (DASH),$72.15
Cosmos (ATOM),$3.48
Dogecoin (DOGE),$0.004595
Zcash (ZEC),$57.54
Compound (COMP),$184.03
Maker (MKR),$457.36
Ontology (ONT),$0.654007
HedgeTrade (HEDG),$1.55
NEM (XEM),$0.047574
Basic Attention Token (BAT),$0.263933
Kyber Network (KNC),$1.68
0x (ZRX),$0.434143
OKB (OKB),$5.07
FTX Token (FTT),$3.03
DigiByte (DGB),$0.021333
Aave (LEND),$0.195842
Synthetix Network Token (SNX),$2.86
Paxos Standard (PAX),$0.998447
OMG Network (OMG),$1.58
ICON (ICX),$0.395232
Augur (REP),$19.65
THETA (THETA),$0.244570
Zilliqa (ZIL),$0.020186
Hedera Hashgraph (HBAR),$0.041403
Algorand (ALGO),$0.247983
Qtum (QTUM),$1.96
Dai (DAI),$1.01
Binance USD (BUSD),$1.00
Decred (DCR),$15.59
The Midas Touch Gold (TMTG),$0.047671
Bitcoin Gold (BTG),$9.44
Ren (REN),$0.182793
Hyperion (HYN),$0.499336
Bitcoin Diamond (BCD),$0.829386
Siacoin (SC),$0.003697
Enjin Coin (ENJ),$0.187218
Lisk (LSK),$1.22
Nano (NANO),$1.07
TrueUSD (TUSD),$1.00
Ravencoin (RVN),$0.019964
Holo (HOT),$0.000778
Flexacoin (FXC),$0.004498
Waves (WAVES),$1.21
Nexo (NEXO),$0.217472
HUSD (HUSD),$1.00
MonaCoin (MONA),$1.75
Quant (QNT),$9.30
Verge (XVG),$0.006780
Nervos Network (CKB),$0.005420
Loopring (LRC),$0.097950
Bancor (BNT),$1.53
DxChain Token (DX),$0.002103
Elrond (ERD),$0.007934
ZB Token (ZB),$0.225069
IOST (IOST),$0.006720
Status (SNT),$0.028919
Bytom (BTM),$0.089110
Celsius (CEL),$0.381048
Divi (DIVI),$0.048623
Terra (LUNA),$0.211768
Steem (STEEM),$0.217211
Komodo (KMD),$0.659924
BitTorrent (BTT),$0.000363
iExec RLC (RLC),$0.935071
Matic Network (MATIC),$0.020955
Blockstack (STX),$0.147705
BitShares (BTS),$0.025455
MCO (MCO),$4.32
Horizen (ZEN),$7.19
Hive (HIVE),$0.223653
WAX (WAXP),$0.055033
KuCoin Shares (KCS),$0.824971
SwissBorg (CHSB),$0.092675
ABBC Coin (ABBC),$0.111129
Energi (NRG),$1.95
Chiliz (CHZ),$0.012606
Reserve Rights (RSR),$0.008623
Decentraland (MANA),$0.041012
Electroneum (ETN),$0.005657
Stratis (STRAT),$0.574675
aelf (ELF),$0.103857
HyperCash (HC),$1.26
Golem (GNT),$0.056177
NULS (NULS),$0.559484
Numeraire (NMR),$20.03
Ardor (ARDR),$0.053201
Digitex Futures (DGTX),$0.059915
RSK Infrastructure Framework (RIF),$0.084050
v.systems (VSYS),$0.025108
Ampleforth (AMPL),$2.60
Super Zero Protocol (SERO),$0.181850
Zcoin (XZC),$4.75
TomoChain (TOMO),$0.679373
SOLVE (SOLVE),$0.141014
Aion (AION),$0.107576
Aeternity (AE),$0.148728
MaidSafeCoin (MAID),$0.099667
Kava (KAVA),$1.35
Unibright (UBT),$0.301548
Pundi X (NPXS),$0.000189
Aragon (ANT),$1.37
